C_to_P,N_to_P,driver,condition,Study,Species,PFT
108,15.34090909,I,control,Feng08,Emiliania huxleyi ,Coc
109,16.26865672,I,treatment,Feng08,Emiliania huxleyi ,Coc
73.82,17.3286385,I,control,Feng18,﻿Emiliania huxleyi,Coc
112.39,19.04915254,I,treatment,Feng18,﻿Emiliania huxleyi,Coc
201.574,41.027,I,control,Finkel06,Thalassiosira weissflogii,Dia
83.232,13.113,I,treatment,Finkel06,Thalassiosira weissflogii,Dia
148.67,21.589,I,control,Finkel06,Chaetoceros calcitrans,Dia
59.983,8.029,I,treatment,Finkel06,Chaetoceros calcitrans,Dia
77.35344828,10.70689655,I,control,Garcia11,Trichodesmium erythraeum IMS101,Dz
109.7910448,14.88059701,I,treatment,Garcia11,Trichodesmium erythraeum IMS101,Dz
63.73611111,8.229166667,I,control,Garcia11,Trichodesmium erythraeum IMS101,Dz
98.27647059,13.51764706,I,treatment,Garcia11,Trichodesmium erythraeum IMS101,Dz
51.91780822,8.082191781,I,control,Kranz10,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
65.71428571,12.28571429,I,treatment,Kranz10,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
57.82051282,11.28205128,I,control,Kranz10,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
70.70422535,14.64788732,I,treatment,Kranz10,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
465.803,74.26705995,I,control,Leonardos04b,Chaetoceros muelleri,Dia
523.873,53.78020737,I,treatment,Leonardos04b,Chaetoceros muelleri,Dia
592.699,83.36132208,I,control,Leonardos04b,Chaetoceros muelleri,Dia
670.224,62.28268748,I,treatment,Leonardos04b,Chaetoceros muelleri,Dia
296.284,31.72205567,I,control,Leonardos05a,Rhinomonas reticulata,Euk
430.472,31.75509,I,treatment,Leonardos05a,Rhinomonas reticulata,Euk
150.101,22.07367647,I,control,Leonardos05a,Rhinomonas reticulata,Euk
300.671,22.19137944,I,treatment,Leonardos05a,Rhinomonas reticulata,Euk
133.906,17.02555626,I,control,Leonardos05a,Rhinomonas reticulata,Euk
252.245,17.78878702,I,treatment,Leonardos05a,Rhinomonas reticulata,Euk
244.36,25.73565034,I,control,Leonardos05b,Emiliania huxleyi,Coc
271.432,21.31720726,I,treatment,Leonardos05b,Emiliania huxleyi,Coc
166.444,21.11965487,I,control,Leonardos05b,Emiliania huxleyi,Coc
217.076,21.31330388,I,treatment,Leonardos05b,Emiliania huxleyi,Coc
121.155,14.78221083,I,control,Leonardos05b,Emiliania huxleyi,Coc
142.31,13.62992051,I,treatment,Leonardos05b,Emiliania huxleyi,Coc
33.33333333,10.6,I,control,Nielsen96,Gymnodinium galatheanum,Din
41.66666667,8.625,I,treatment,Nielsen96,Gymnodinium galatheanum,Din
55.71583805,12.55830258,I,control,Norici11,Skeletonema marinoi,Dia
62.6291502,10.17924526,I,treatment,Norici11,Skeletonema marinoi,Dia
158,24.45820433,I,control,Perrin16,Emiliania huxleyi,Coc
173,19.83944954,I,treatment,Perrin16,Emiliania huxleyi,Coc
153.906,20.1896891,I,control,Plum15,Rhodomonas salina,Euk
352.36,17.63563564,I,treatment,Plum15,Rhodomonas salina,Euk
118.057,15.4869474,I,control,Plum15,Rhodomonas salina,Euk
414.361,50.50103595,I,treatment,Plum15,Rhodomonas salina,Euk
58.557,7.725197889,I,control,Plum15,Tetraselmis sp.,Euk
83.561,2.360413548,I,treatment,Plum15,Tetraselmis sp.,Euk
46.386,6.400717538,I,control,Plum15,Tetraselmis sp.,Euk
485.497,44.00806744,I,treatment,Plum15,Tetraselmis sp.,Euk
99.916,11.80203166,I,control,Plum15,Skeletonema costatum,Dia
136.198,3.839050653,I,treatment,Plum15,Skeletonema costatum,Dia
78.229,9.462803919,I,control,Plum15,Skeletonema costatum,Dia
258.083,23.42376112,I,treatment,Plum15,Skeletonema costatum,Dia
102.34,13.45339819,I,control,Plum15,Chaetoceras danicus,Dia
252.98,11.82315278,I,treatment,Plum15,Chaetoceras danicus,Dia
75.907,10.43538631,I,control,Plum15,Chaetoceras danicus,Dia
193.147,23.31566876,I,treatment,Plum15,Chaetoceras danicus,Dia
332.6,26.18897638,T,control,Bi17,Rhodomonas sp.,Euk
150.8,21.85507246,T,treatment,Bi17,Rhodomonas sp.,Euk
302.8,21.78417266,T,control,Bi17,Rhodomonas sp.,Euk
169.8,21.49367089,T,treatment,Bi17,Rhodomonas sp.,Euk
271.7,43.12698413,T,control,Bi17,Rhodomonas sp.,Euk
114.1,23.77083333,T,treatment,Bi17,Rhodomonas sp.,Euk
218.1,29.08,T,control,Bi17,Rhodomonas sp.,Euk
141.9,24.89473684,T,treatment,Bi17,Rhodomonas sp.,Euk
466,56.82926829,T,control,Bi17,Rhodomonas sp.,Euk
261.8,31.54216867,T,treatment,Bi17,Rhodomonas sp.,Euk
502.8,71.82857143,T,control,Bi17,Rhodomonas sp.,Euk
357,41.51162791,T,treatment,Bi17,Rhodomonas sp.,Euk
215.248,17.0831746,T,control,Bi18,Emiliania huxleyi,Coc
223.827,16.35923111,T,treatment,Bi18,Emiliania huxleyi,Coc
288.19,24.01583333,T,control,Bi18,Emiliania huxleyi,Coc
217.833,24.0646266,T,treatment,Bi18,Emiliania huxleyi,Coc
367.728,31.90421655,T,control,Bi18,Emiliania huxleyi,Coc
361.909,35.36685234,T,treatment,Bi18,Emiliania huxleyi,Coc
1008,28,T,control,Borchard12,Emiliania huxleyi,Coc
1123.287671,27.85388128,T,treatment,Borchard12,Emiliania huxleyi,Coc
697.0954357,29.04564315,T,control,Borchard12,Emiliania huxleyi,Coc
716.5991903,24.29149798,T,treatment,Borchard12,Emiliania huxleyi,Coc
36.2,5.323529412,T,control,Boyd16,Pseudonitzschia multiseries,Dia
38,5.846153846,T,treatment,Boyd16,Pseudonitzschia multiseries,Dia
117,17.48878924,T,control,Feng08,Emiliania huxleyi ,Coc
108,15.74344023,T,treatment,Feng08,Emiliania huxleyi ,Coc
116,17.84615385,T,control,Feng08,Emiliania huxleyi ,Coc
108,15.34090909,T,treatment,Feng08,Emiliania huxleyi ,Coc
91,14.89361702,T,control,Feng08,Emiliania huxleyi ,Coc
82,14.0651801,T,treatment,Feng08,Emiliania huxleyi ,Coc
124,17.76504298,T,control,Feng08,Emiliania huxleyi ,Coc
109,16.26865672,T,treatment,Feng08,Emiliania huxleyi ,Coc
71.34,8.228373702,T,control,Feng18,﻿Emiliania huxleyi,Coc
93.96,13.27118644,T,treatment,Feng18,﻿Emiliania huxleyi,Coc
113.259,19.79706345,T,control,Fu07,Synechococcus sp. CCMP1334,Pro
95.336,18.37625289,T,treatment,Fu07,Synechococcus sp. CCMP1334,Pro
128.815,24.79118553,T,control,Fu07,Synechococcus sp. CCMP1334,Pro
115.01,23.7378741,T,treatment,Fu07,Synechococcus sp. CCMP1334,Pro
107.362,17.18341869,T,control,Fu07,Prochlorococcus sp. CCMP1986,Pro
109.391,17.53341882,T,treatment,Fu07,Prochlorococcus sp. CCMP1986,Pro
106.549,15.22998856,T,control,Fu08a,Heterosigma akashiwo,Euk
130.417,16.41911117,T,treatment,Fu08a,Heterosigma akashiwo,Euk
117.078,15.038921,T,control,Fu08a,Heterosigma akashiwo,Euk
168.173,21.28502721,T,treatment,Fu08a,Heterosigma akashiwo,Euk
135.041,18.05360963,T,control,Fu08a,Prorocentrum minimum,Din
88.632,13.35221452,T,treatment,Fu08a,Prorocentrum minimum,Din
69.334354,11.483,T,control,Fu14,Trichodesmium sp. KO4-20,Dz
130.2912,19.575,T,treatment,Fu14,Trichodesmium sp. KO4-20,Dz
50.14266,9.42,T,control,Fu14,Trichodesmium sp. RLI,Dz
123.103596,19.362,T,treatment,Fu14,Trichodesmium sp. RLI,Dz
50.507688,10.136,T,control,Fu14,Trichodesmium sp. 21-75,Dz
